Eh	I	EH
Écoutons	Nc	Écoutons
-les	Vvc	-les
donc	Rg	DONC
attentivement	Rg	ATTENTIVEMENT
,	Fw	,
si	Cs	SI
vous	Pp	VOUS
voulez	Vvc	VOULOIR
que	Cs	QUE
je	Pp	JE
la	Pp	IL
devine	Vvc	DEVINER
.	Fs	.
Hola	I	HOLA
hé	I	HÉ
!	Fs	!
Servante	Nc	SERVANT|SERVANTE|SERVITEUR
!	Fs	!
Du	S+Da	DE+LE
feu	Nc	FEU
!	Fs	!
Une	Dn	UN
pipe	Nc	PIPE
!	Fs	!
Une	Dn	UN
pipe	Nc	PIPE
!	Fs	!
Oui	Rg	OUI
,	Fw	,
sans	S	SANS
doute	Nc	DOUTE
:	Fw	:
est	Vuc	ÊTRE
-ce	Vvc	-ce
qu'	Cs	QUE
il	Pp	IL
n'	Rp	NE
y	Pp	Y
a	Vuc	AVOIR
point	Rg	POINT
de	S	DE
pipe	Nc	PIPE
dans	S	DANS
cette	Dd	CE
Auberge	Nc	AUBERGE
?	Fs	?
Monsieur	Nc	MONSIEUR
,	Fw	,
pardonnez	Vvc	PARDONNER
-moi	Vvc	-moi
;	Fw	;
mais	Cc	MAIS
c'	Pd	CE
est	Vuc	ÊTRE
que	Rg	QUE
...	Fs	...
Quoi	Vvc	Quoi
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
que	Rg	QUE
...	Fs	...
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
dans	S	DANS
ce	Dd	CE
moment	Nc	MOMENT
il	Pp	IL
n'	Rp	NE
y	Pp	Y
en	Pp	EN
a	Vuc	AVOIR
qu'	Rg	QUE
une	Pi	UN
,	Fw	,
dont	Pr	DONT
Monsieur	Nc	MONSIEUR
ne	Rp	NE
pourra	Vvc	POUVOIR
point	Rg	POINT
faire	Vvn	FAIRE
usage	Nc	USAGE
.	Fs	.
Et	Cc	ET
pourquoi	Rt	POURQUOI
cela	Pd	CELA
,	Fw	,
s'	Cs	SI
il	Pp	IL
vous	Pp	VOUS
plaît	Vvc	PLAIRE
?	Fs	?
C'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
nous	Pp	NOUS
,	Fw	,
n'	Rp	NE
ayons	Vuc	AVOIR
ici	Rg	ICI
maintenant	Rg	MAINTENANT
que	Cs	QUE
celle	Pd	CELUI
de	S	DE
Monsieur	Nc	MONSIEUR
notre	Ds	NOTRE
Charretier	Nc	CHARRETIER
.	Fs	.
De	S	DE
Monsieur	Nc	MONSIEUR
votre	Ds	VOTRE
Charretier	Nc	CHARRETIER
!	Fs	!
Apportez	Vvc	APPORTER
-la	Vvc	-la
toujours	Rg	TOUJOURS
,	Fw	,
que	Cs	QUE
m'	Pp	JE
importe	Vvc	IMPORTER
?	Fs	?
Un	Dn	UN
Charretier	Nc	CHARRETIER
n'	Rp	NE
est-il	V	est-il
pas	Rg	PAS
un	Dn	UN
homme	Nc	HOMME
?	Fs	?
Et	Cc	ET
puis	Vvc	POUVOIR
en	S	EN
l'	Pp	IL
essuyant	Ga	ESSUYER
bien	Rg	BIEN
...	Fs	...
Que	Vvc	Que
le	Pp	IL
Français	Vvc	Français
est	Vuc	ÊTRE
ridicule	Ag	RIDICULE
quand	Cs	QUAND
il	Pp	IL
voyage	Vvc	VOYAGER
!	Fs	!
Depuis	S	DEPUIS
que	Cs	QUE
je	Pp	JE
voyage	Vvc	VOYAGER
moi-même	Pp	LUI-MÊME
,	Fw	,
et	Cc	ET
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
bien	Rg	BIEN
des	Dn	UN
années	Nc	ANNÉE
que	Pr	QUE
j'	Pp	JE
ai	Vuc	AVOIR
ce	Dd	CE
goût	Nc	GOÛT
,	Fw	,
je	Pp	JE
ne	Rp	NE
crois	Vvc	CROIRE|CROÎTRE
pas	Rg	PAS
avoir	Vun	AVOIR
jamais	Rg	JAMAIS
rencontré	Ge	RENCONTRER
chez	S	CHEZ
aucune	Di	AUCUN
Nation	Nc	NATION
du	S+Da	DE+LE
monde	Nc	MONDE
,	Fw	,
des	S+Da	DE+LE|DE+LES
personnages	Nc	PERSONNAGE
plus	Rg	PLUS
impertinents	Ag	IMPERTINENT
que	Cs	QUE
nos	Ds	NOTRE
compagnons	Nc	COMPAGNON
,	Fw	,
excepté	Ge	EXCEPTER
,	Fw	,
les	Da	LE
deux	Nc	DEUX
hommes	Nc	HOMME
qui	Pr	QUI
nous	Pp	NOUS
sont	Vuc	ÊTRE
venus	Ge	VENIR
joindre	Vvn	JOINDRE
dans	S	DANS
la	Da	LE
diligence	Nc	DILIGENCE
,	Fw	,
et	Cc	ET
qui	Pr	QUI
paraissent	Vvc	PARAÎTRE
plus	Rg	PLUS
raisonnables	Ag	RAISONNABLE
...	Fs	...
Il	Vvc	Il
parle	Vvc	PARLER
bien	Rg	BIEN
de	S	DE
nous	Pp	NOUS
,	Fw	,
Monseigneur	Nc	MONSEIGNEUR
;	Fw	;
vous	Pp	VOUS
aviez	Vuc	AVOIR
bien	Rg	BIEN
,	Fw	,
raison	Nc	RAISON
de	S	DE
dire	Vvn	DIRE
que	Cs	QUE
cet	Dd	CE
Anglais	Vvc	Anglais
était	Vuc	ÊTRE
un	Dn	UN
homme	Nc	HOMME
de	S	DE
distinction	Nc	DISTINCTION
.	Fs	.
Les	Da	LE
gens	Nc	GENS|GENT
comme	Cs	COMME
nous	Pp	NOUS
se	Pp	IL
devinent	Vvc	DEVINER
,	Fw	,
sans	S	SANS
se	Pp	IL
connaître	Vvn	CONNAÎTRE
.	Fs	.
Tenez	Vvc	TENIR
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
voila	Vvc	VOILER
pipe	Nc	PIPE
que	Pr	QUE
vous	Pp	VOUS
avez	Vuc	AVOIR
demandée	Ge	DEMANDER
.	Fs	.
Tenez	Vvc	TENIR
,	Fw	,
à	S	À
votre	Ds	VOTRE
tour	Nc	TOUR
.	Fs	.
Il	Pp	IL
lui	Pp	IL
donne	Vvc	DONNER
une	Dn	UN
guinée	Nc	GUINÉE
qan	Ag	qan
regarder	Vvn	REGARDER
.	Fs	.
Qu'	Pt	QUE
est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
c'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
vous	Pp	VOUS
me	Pp	JE
donnez	Vvc	DONNER
-là	Vvc	-là
,	Fw	,
Monsieur	Nc	MONSIEUR
?	Fs	?
Je	Pp	JE
n'	Rp	NE
en	Pp	EN
sais	Vvc	SAVOIR
rien	Pi	RIEN
.	Fs	.
Je	Pp	JE
ne	Rp	NE
connais	Vvc	CONNAÎTRE
pas	Rg	PAS
cette	Dd	CE
chose	Nc	CHOSE
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
une	Dn	UN
guinée	Nc	GUINÉE
.	Fs	.
Une	Dn	UN
guinée	Nc	GUINÉE
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
comme	S	COMME
qui	Pr	QUI
dirait	Vvc	DIRE
une	Dn	UN
médaille	Nc	MÉDAILLE|MÉDAILLÉ
:	Fw	:
je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
pas	Rg	PAS
besoin	Nc	BESOIN
de	S	DE
çà	Nc	çà
,	Fw	,
je	Pp	JE
pense	Vvc	PENSER
.	Fs	.
Elle	Pp	IL
jette	Vvc	JETER
la	Da	LE
guinée	Nc	GUINÉE
.	Fs	.
Cependant	Rg	CEPENDANT
ce	Dd	CE
Monsieur	Nc	MONSIEUR
a	Vuc	AVOIR
l'	Da	LE
air	Nc	AIR
brave	Ag	BRAVE
,	Fw	,
et	Cc	ET
je	Pp	JE
sens	Vvc	SENTIR
que	Cs	QUE
je	Pp	JE
l'	Pp	IL
aime	Vvc	AIMER
.	Fs	.
Milord	Nc	MILORD
tire	Vvc	TIRER
du	S+Da	DE+LE
tabac	Nc	TABAC
de	S	DE
sa	Ds	SON
poche	Nc	POCHE
,	Fw	,
allume	Vvc	ALLUMER
sa	Ds	SON
pipe	Nc	PIPE
et	Cc	ET
fume	Nc	FUMÉ
.	Fs	.
Jeter	Vvn	JETER
une	Dn	UN
guinée	Nc	GUINÉE
!	Fs	!
Quel	Dt	QUEL
sacrilège	Nc	SACRILÈGE
!	Fs	!
Il	Pp	IL
est	Vuc	ÊTRE
sans	S	SANS
façon	Nc	FAÇON
cet	Dd	CE
Anglais	Vvc	Anglais
,	Fw	,
il	Pp	IL
ne	Rp	NE
ressemble	Vvc	RESSEMBLER
pas	Rg	PAS
à	S	À
nos	Ds	NOTRE
Olibrius	Nc	OLIBRIUS
et	Cc	ET
à	S	À
nos	Ds	NOTRE
Mijaurées	Nc	Mijaurées
;	Fw	;
mais	Cc	MAIS
les	Da	LE
voici	S	VOICI
tous	Pi	TOUT
à	S	À
point	Rg	POINT
nommé	Ge	NOMMER
.	Fs	.
Oui	Rg	OUI
,	Fw	,
ma	Ds	MON
mie	Nc	MIE
,	Fw	,
sachez	Vvc	SAVOIR
que	Cs	QUE
vous	Pp	VOUS
êtes	Vuc	ÊTRE
une	Dn	UN
impertinente	Ag	IMPERTINENT
de	S	DE
me	Pp	JE
donner	Vvn	DONNER
une	Dn	UN
chambre	Nc	CHAMBRE
où	Pr	OÙ
il	Pp	IL
n'	Rp	NE
y	Pp	Y
a	Vuc	AVOIR
point	Rg	POINT
de	S	DE
robe	Nc	ROBE
de	S	DE
chambre	Nc	CHAMBRE
.	Fs	.
Comment	Pt	COMMENT
voulez	Vvc	VOULOIR
-vous	Nc	-vous
que	Pr	QUE
je	Pp	JE
fasse	Vvc	FAIRE
demain	Rg	DEMAIN
en	S	EN
me	Pp	JE
levant	Ga	LEVER
?	Fs	?
Faudra-t-il	Vvc	Faudra-t-il
que	Cs	QUE
violant	Ga	VIOLER
le	Da	LE
bel	Ag	BEAU
usage	Nc	USAGE
,	Fw	,
je	Pp	JE
mette	Vvc	METTRE
le	Da	LE
matin	Nc	MATIN|MÂTIN
un	Dn	UN
habit	Nc	HABIT
habillé	Ge	HABILLER
,	Fw	,
qui	Pr	QUI
doit	Vvc	DEVOIR
ne	Rp	NE
se	Pp	IL
mettre	Vvn	METTRE
que	Cs	QUE
l'	Da	LE
après-diné	Nc	après-diné
?	Fs	?
Ô	Vvc	Ô
ma	Ds	MON
garde-robe	Nc	GARDE-ROBE
,	Fw	,
ou	Pr	OÙ
es	Vuc	ÊTRE
-tu	Ge	-tu
?	Fs	?
Que	Pt	QUE
n'	Rp	NE
ai	Vuc	AVOIR
-je	Nc	-je
pu	Ge	POUVOIR
te	Pp	TU
porter	Vvn	PORTER
avec	S	AVEC
moi	Pp	JE
!	Fs	!
Je	Pp	JE
ne	Rp	NE
serais	Vuc	ÊTRE
pas	Rg	PAS
dans	S	DANS
l'	Da	LE
état	Nc	ÉTAT
où	Pr	OÙ
je	Pp	JE
me	Pp	JE
trouve	Vvc	TROUVER
.	Fs	.
Sachez	Vvc	SAVOIR
que	Cs	QUE
j'	Pp	JE
ai	Vuc	AVOIR
chez	S	CHEZ
moi	Pp	JE
deux	Nc	DEUX
robes	Vvc	ROBER
de	S	DE
chambre	Nc	CHAMBRE
et	Cc	ET
deux	Nc	DEUX
douzaines	Nc	DOUZAINE
de	S	DE
camisoles	Nc	CAMISOLE
,	Fw	,
trois	Vvc	TRAIRE
gilets	Nc	GILET
de	S	DE
molleton	Nc	MOLLETON
,	Fw	,
six	Nc	SIX
pantalons	Nc	PANTALON
de	S	DE
coutil	Nc	COUTIL
,	Fw	,
trois	Vvc	TRAIRE
douzaines	Nc	DOUZAINE
de	S	DE
fracs	Nc	FRAC
d'	S	DE
Espagne	Nc	Espagne
ou	Cc	OU
de	S	DE
Castorine	Nc	Castorine
,	Fw	,
ou	Cc	OU
de	S	DE
drap	Nc	DRAP
vert	Ag	VERT
de	S	DE
Saxe	Nc	SAXE
;	Fw	;
cinquante	Nc	CINQUANTE
redingotes	Nc	REDINGOTE
à	S	À
la	Da	LE
Bostonienne	Nc	Bostonienne
,	Fw	,
deux	Nc	DEUX
ou	Pr	OÙ
trois	Vvc	TRAIRE
cents	Nc	CENT
habits	Nc	HABIT|HABITS
habillés	Ge	HABILLER
,	Fw	,
soit	Vuc	ÊTRE
de	S	DE
drap	Nc	DRAP
de	S	DE
Louvier	Nc	Louvier
,	Fw	,
soit	Vuc	ÊTRE
de	S	DE
tricot	Nc	TRICOT
d'	S	DE
Angleterre	Nc	Angleterre
,	Fw	,
soit	Vuc	ÊTRE
de	S	DE
cannelé	Ge	CANNELER
de	S	DE
Lyon	Nc	Lyon
,	Fw	,
soit	Vuc	ÊTRE
de	S	DE
ratine	Nc	RATINE
d'	S	DE
Holìande	Nc	Holìande
,	Fw	,
soit	Vuc	ÊTRE
de	S	DE
satin	Nc	SATIN
de	S	DE
Gênrs	Nc	Gênrs
,	Fw	,
soit	Vuc	ÊTRE
de	S	DE
drap	Nc	DRAP
de	S	DE
Vigogne	Nc	VIGOGNE
,	Fw	,
et	Cc	ET
tous	Di	TOUT
pleins	Ag	PLEIN
et	Cc	ET
double	Ag	DOUBLE
broche	Nc	BROCHE|BROCHÉ
.	Fs	.
Je	Pp	JE
ne	Rp	NE
parle	Vvc	PARLER
point	Rg	POINT
des	Dn	UN
habits	Nc	HABIT|HABITS
de	S	DE
livrée	Nc	LIVRÉE
de	S	DE
mes	Ds	MON
gens	Nc	GENS|GENT
,	Fw	,
il	Pp	IL
serait	Vuc	ÊTRE
difficile	Ag	DIFFICILE
d'	S	DE
en	Pp	EN
savoir	Vvn	SAVOIR
le	Da	LE
nombre	Nc	NOMBRE
;	Fw	;
et	Cc	ET
ici	Rg	ICI
,	Fw	,
ici	Rg	ICI
!	Fs	!
Je	Pp	JE
ne	Rp	NE
trouve	Vvc	TROUVER
pas	Rg	PAS
seulement	Rg	SEULEMENT
une	Dn	UN
robe-de-chambre	Nc	robe-de-chambre
.	Fs	.
Quel	Dt	QUEL
étalage	Nc	ÉTALAGE
d'	S	DE
habillements	Nc	HABILLEMENT
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
le	Da	LE
Tailleur	Nc	TAILLEUR
dont	Pr	DONT
je	Pp	JE
vous	Pp	VOUS
parlais	Vvc	PARLER
tout	Rg	TOUT
à	S	À
l'	Da	LE
heure	Nc	HEURE|HURE
.	Fs	.
Vous	Pp	VOUS
avez	Vuc	AVOIR
raison	Nc	RAISON
de	S	DE
vous	Pp	VOUS
plaindre	Vvn	PLAINDRE
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
mais	Cc	MAIS
je	Pp	JE
l'	Pp	IL
ai	Vuc	AVOIR
bien	Rg	BIEN
plus	Rg	PLUS
que	Cs	QUE
vous	Pp	VOUS
mille	Nc	MILLE
fois	Nc	FOI|FOIS
.	Fs	.
On	Pp	ON
n'	Rp	NE
a	Vuc	AVOIR
point	Rg	POINT
mit	Vvc	METTRE
de	S	DE
robe-de-chambre	Vvc	robe-de-chambre
dans	S	DANS
votre	Ds	VOTRE
chambre	Nc	CHAMBRE
;	Fw	;
et	Cc	ET
moi	Pp	JE
,	Fw	,
diriez	Vvc	DIRE
-vous	Nc	-vous
que	Pr	QUE
je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
trouvé	Ge	TROUVER
dans	S	DANS
la	Da	LE
mienne	Ps	MIEN
,	Fw	,
ni	Cc	NI
peignoir	Nc	PEIGNOIR
,	Fw	,
ni	Cc	NI
nécessaire	Ag	NÉCESSAIRE
,	Fw	,
ni	Cc	NI
boite	Vvc	BOITER
à	S	À
poudre	Nc	POUDRE|POUDRÉ
,	Fw	,
ni	Cc	NI
poudre	Nc	POUDRE|POUDRÉ
grise	Ag	GRIS
,	Fw	,
ni	Cc	NI
poudre	Nc	POUDRE|POUDRÉ
rousse	Ag	ROUX
,	Fw	,
ni	Cc	NI
poudre	Vvc	POUDRER
à	S	À
la	Da	LE
Maréchale	Nc	Maréchale
,	Fw	,
ni	Cc	NI
pâte	Vvc	PÂTER
d'	S	DE
amandes	Nc	AMANDE
,	Fw	,
ni	Cc	NI
essences	Nc	ESSENCE
,	Fw	,
ni	Cc	NI
cassolettes	Nc	CASSOLETTE
,	Fw	,
ni	Cc	NI
toilette	Vvc	TOILETTER
enfin	Rg	ENFIN
,	Fw	,
ni	Cc	NI
toilette	Vvc	TOILETTER
;	Fw	;
comme	Cs	COMME
si	Cs	SI
un	Dn	UN
joli	Ag	JOLI
homme	Nc	HOMME
,	Fw	,
un	Dn	UN
homme	Nc	HOMME
de	S	DE
distinction	Nc	DISTINCTION
,	Fw	,
pouvait	Vvc	POUVOIR
se	Pp	IL
passer	Vvn	PASSER
de	S	DE
toilette	Nc	TOILETTE
en	S	EN
quelque	Di	QUELQUE
pays	Nc	PAYS
qu'	Pr	QUE
il	Pp	IL
se	Pp	IL
trouve	Vvc	TROUVER
.	Fs	.
D'	S	DE
un	Dn	UN
ton	Nc	TON
de	S	DE
Petit-Maître	Nc	Petit-Maître
.	Fs	.
Aussi	Rg	AUSSI
demain	Rg	DEMAIN
,	Fw	,
Mesdames	Vvc	Mesdames
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
demande	Vvc	DEMANDER
pardon	Rg	PARDON
d'	S	DE
avance	Nc	AVANCE
,	Fw	,
mais	Cc	MAIS
je	Pp	JE
serai	Vuc	ÊTRE
à	S	À
faire	Vvn	FAIRE
peur	Nc	PEUR
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
avertis	Vvc	AVERTIR
.	Fs	.
J'	Pp	JE
aurai	Vuc	AVOIR
le	Da	LE
teint	Nc	TEINT
plombé	Ge	PLOMBER
,	Fw	,
les	Da	LE
yeux	Nc	OEIL|YEUX
caves	Ag	CAVE
;	Fw	;
et	Cc	ET
il	Pp	IL
faudra	Vvc	FAILLIR|FALLOIR
,	Fw	,
oui	Ge	OUÏR
,	Fw	,
il	Pp	IL
faudra	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
je	Pp	JE
me	Pp	JE
cache	Vvc	CACHER
,	Fw	,
pour	S	POUR
ne	Rp	NE
pas	Rg	PAS
vous	Pp	VOUS
faire	Vvn	FAIRE
tomber	Vvn	TOMBER
en	S	EN
syncope	Nc	SYNCOPE
.	Fs	.
Et	Cc	ET
celui	Pd	CELUI
-là	Vvc	-là
,	Fw	,
Moron	Nc	Moron
?	Fs	?
Celui	Pd	CELUI
-là	Vvc	-là
?	Fs	?
...	Fs	...
Poudre	Vvc	POUDRER
à	S	À
la	Da	LE
Maréchale	Nc	Maréchale
,	Fw	,
poudre	Nc	POUDRE|POUDRÉ
rousse	Ag	ROUX
,	Fw	,
poudre	Nc	POUDRE|POUDRÉ
grise	Ag	GRIS
...	Fs	...
Ne	Vvc	Ne
voyez	Vvc	VOIR
-vous	Nc	-vous
pas	Rg	PAS
à	S	À
ces	Dd	CE
mots	Nc	MOT|MOTS
,	Fw	,
que	Cs	QUE
c'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
coiffeur	Nc	COIFFEUR
de	S	DE
Petites	Nc	PETIT
Maîtresses	Vvc	Maîtresses
?	Fs	?
Vous	Pp	VOUS
vous	Pp	VOUS
plaignez	Vvc	PLAINDRE
,	Fw	,
Messieurs	Nc	MONSIEUR
,	Fw	,
vous	Pp	VOUS
,	Fw	,
de	S	DE
n'	Rp	NE
avoir	Vun	AVOIR
point	Rg	POINT
de	S	DE
peignoir	Nc	PEIGNOIR
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
point	Rg	POINT
de	S	DE
robe-de-chambre	Nc	robe-de-chambre
.	Fs	.
Cela	Pd	CELA
est	Vuc	ÊTRE
fâcheux	Ag	FÂCHEUX
,	Fw	,
sans	S	SANS
doute	Nc	DOUTE
,	Fw	,
mais	Cc	MAIS
ce	Pd	CE
qui	Pr	QUI
nous	Pp	NOUS
arrive	Vvc	ARRIVER
,	Fw	,
est	Vuc	ÊTRE
bien	Rg	BIEN
plus	Rg	PLUS
fâcheux	Ag	FÂCHEUX
encore	Rg	ENCORE
.	Fs	.
Vous	Pp	VOUS
savez	Vvc	SAVOIR
que	Cs	QUE
dans	S	DANS
,	Fw	,
les	Da	LE
bonnes	Ag	BON
maisons	Nc	MAISON
on	Pp	ON
met	Vvc	METTRE
toujours	Rg	TOUJOURS
le	Da	LE
menu	Nc	MENU
sur	S	SUR
la	Da	LE
table	Nc	TABLE
,	Fw	,
pour	S	POUR
instruire	Vvn	INSTRUIRE
les	Da	LE
convives	Nc	CONVIVE
de	S	DE
ce	Pd	CE
qui	Pr	QUI
doit	Vvc	DEVOIR
leur	Pp	LEUR
être	Vun	ÊTRE
servi	Ge	SERVIR
.	Fs	.
Diriez	Vvc	DIRE
-vous	Nc	-vous
qu'	Pr	QUE
il	Pp	IL
n'	Rp	NE
y	Pp	Y
aura	Vuc	AVOIR
point	Rg	POINT
de	S	DE
menu	Nc	MENU
à	S	À
notre	Ds	NOTRE
table	Nc	TABLE
,	Fw	,
et	Cc	ET
qu'	Cs	QUE
avant	S	AVANT
de	S	DE
manger	Vvn	MANGER
nous	Pp	NOUS
saurons	Vvc	SAURER|SAVOIR
à	S	À
peine	Nc	PEINE
...	Fs	...
Point	Vvc	PAYER|POINDRE
de	S	DE
menu	Nc	MENU
!	Fs	!
Qu'	Pt	QUE
entends	Vvc	ENTENDRE
je	Pp	JE
!	Fs	!
Cela	Pd	CELA
crie	Vvc	CRIER
vengeance	Nc	VENGEANCE
:	Fw	:
point	Rg	POINT
de	S	DE
menu	Nc	MENU
!	Fs	!
...	Fs	...
À	Nc	À
part	Nc	PART
.	Fs	.
Je	Pp	JE
ne	Rp	NE
sais	Vvc	SAVOIR
ce	Pd	CE
que	Pr	QUE
c'	Pd	CE
est	Vuc	ÊTRE
;	Fw	;
mais	Cc	MAIS
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
avoir	Vun	AVOIR
l'	Da	LE
air	Nc	AIR
de	S	DE
le	Pp	IL
connaître	Vvn	CONNAÎTRE
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
très	Rg	TRÈS
scandalisé	Ge	SCANDALISER
qu'	Cs	QUE
il	Pp	IL
n'	Rp	NE
y	Pp	Y
ait	Vuc	AVOIR
point	Rg	POINT
de	S	DE
mena	Vvc	MENER
et	Cc	ET
notre	Ds	NOTRE
table	Nc	TABLE
.	Fs	.
À	Vvc	À
part	Nc	PART
.	Fs	.
Je	Pp	JE
veux	Vvc	VOULOIR
être	Vun	ÊTRE
pendu	Ge	PENDRE
,	Fw	,
si	Cs	SI
j'	Pp	JE
y	Pp	Y
comprends	Vvc	COMPRENDRE
la	Da	LE
moindre	Ag	MOINDRE
chose	Nc	CHOSE
.	Fs	.
Eh	I	EH
quoi	Pt	QUE|QUOI
!	Fs	!
Monsieur	Nc	MONSIEUR
,	Fw	,
point	Rg	POINT
de	S	DE
menu	Nc	MENU
!	Fs	!
Cela	Pd	CELA
est-il	Ag	est-il
possible	Ag	POSSIBLE
?	Fs	?
Feu	Nc	FEU
mon	Ds	MON
mari	Nc	MARI
en	Pp	EN
avait	Vuc	AVOIR
toujours	Rg	TOUJOURS
un	Pi	UN
sous	S	SOUS
sa	Ds	SON
serviette	Nc	SERVIETTE
,	Fw	,
dont	Pr	DONT
avant	S	AVANT
tout	Pi	TOUT
il	Pp	IL
me	Pp	JE
faisait	Vvc	FAIRE
la	Da	LE
lecture	Nc	LECTURE
.	Fs	.
Rien	Pi	RIEN
n'	Rp	NE
est	Vuc	ÊTRE
plus	Rg	PLUS
vrai	Ag	VRAI
cependant	Rg	CEPENDANT
,	Fw	,
je	Pp	JE
viens	Vvc	VENIR
de	S	DE
le	Pp	IL
demander	Vvn	DEMANDER
à	S	À
l'	Da	LE
hôtesse	Nc	HÔTE|HÔTESSE
.	Fs	.
Êtes	Vvc	Êtes
-vous	Nc	-vous
bien	Rg	BIEN
sûr	Ag	SÛR
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
qu'	Cs	QUE
il	Pp	IL
n'	Rp	NE
y	Pp	Y
aura	Vuc	AVOIR
point	Rg	POINT
de	S	DE
menu	Nc	MENU
à	S	À
notre	Ds	NOTRE
souper	Nc	SOUPER
?	Fs	?
D'	S	DE
honneur	Nc	HONNEUR
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
incroyable	Ag	INCROYABLE
.	Fs	.
Parbleu	I	PARBLEU
,	Fw	,
Mesdames	Vvc	Mesdames
,	Fw	,
puisqu'il	Cs	puisqu'il
faut	Vvc	FAILLIR|FALLOIR
vous	Pp	VOUS
en	S	EN
convaincre	Vvn	CONVAINCRE
,	Fw	,
je	Pp	JE
m'	Pp	JE
en	Pp	EN
vais	Vvc	ALLER
appeler	Vvn	APPELER
la	Da	LE
fille	Nc	FILLE
.	Fs	.
Holà	Vvc	Holà
hée	Vvc	hée
,	Fw	,
la	Da	LE
fille	Nc	FILLE
!	Fs	!
Apportez	Vvc	APPORTER
-moi	Vvc	-moi
le	Da	LE
menu	Nc	MENU
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
prie	Vvc	PRIER
Le	Vvc	Le
menu	Ag	MENU
!	Fs	!
Oui	Rg	OUI
,	Fw	,
le	Da	LE
menu	Nc	MENU
,	Fw	,
vous	Pp	VOUS
dis	Vvc	DIRE
-je	Nc	-je
.	Fs	.
Monsieur	Nc	MONSIEUR
veut	Vvc	VOULOIR
badiner	Vvn	BADINER
sans	S	SANS
doute	Nc	DOUTE
.	Fs	.
Pourquoi	Rt	POURQUOI
donc	Rg	DONC
?	Fs	?
Est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
vous	Pp	VOUS
ne	Rp	NE
savez	Vvc	SAVOIR
pas	Rg	PAS
ce	Pd	CE
que	Pr	QUE
c'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
le	Da	LE
menu	Nc	MENU
?	Fs	?
Je	Pp	JE
n'	Rp	NE
en	Pp	EN
ai	Vuc	AVOIR
jamais	Rg	JAMAIS
vu	Ge	VOIR
de	S	DE
ma	Ds	MON
vie	Nc	VIE
.	Fs	.
Elle	Pp	IL
sort	Vvc	SORTIR
.	Fs	.
Vous	Pp	VOUS
le	Pp	IL
voyez	Vvc	VOIR
,	Fw	,
Mesdames	Vvc	Mesdames
:	Fw	:
mais	Cc	MAIS
n'	Rp	NE
avoir	Vun	AVOIR
point	Rg	POINT
de	S	DE
menu	Nc	MENU
serait	Vuc	ÊTRE
un	Dn	UN
petit	Ag	PETIT
malheur	Nc	MALHEUR
;	Fw	;
je	Pp	JE
viens	Vvc	VENIR
de	S	DE
faire	Vvn	FAIRE
un	Dn	UN
tour	Nc	TOUR
à	S	À
la	Da	LE
cuisine	Nc	CUISINE
,	Fw	,
et	Cc	ET
croiriez	Vvc	CROIRE
-vous	Nc	-vous
que	Pr	QUE
nous	Pp	NOUS
n'	Rp	NE
aurons	Vuc	AVOIR
à	S	À
souper	Nc	SOUPER
,	Fw	,
ni	Cc	NI
potages	Nc	POTAGE
,	Fw	,
ni	Cc	NI
entrées	Ge	ENTRER
fines	Ag	FIN
,	Fw	,
ni	Cc	NI
pâtisseries	Vvc	PÂTISSER
.	Fs	.
J'	Pp	JE
ignore	Vvc	IGNORER
si	Cs	SI
vous	Pp	VOUS
faites	Vvc	FAIRE
grand	Ag	GRAND
cas	Nc	CAS
de	S	DE
la	Da	LE
grosse	Ag	GROS
viande	Nc	VIANDE
;	Fw	;
pour	S	POUR
moi	Pp	JE
,	Fw	,
je	Pp	JE
suis	Vuc	ÊTRE
un	Dn	UN
