Cela	Pd	CELA
,	Fw	,
je	Pp	JE
saurai	Vvc	SAURER|SAVOIR
ses	Ds	SON
sentiments	Nc	SENTIMENT
par	S	PAR
lui-même	Pp	LUI-MÊME
,	Fw	,
et	Cc	ET
je	Pp	JE
ne	Rp	NE
le	Pp	IL
quitterai	Vvc	QUITTER
point	Rg	POINT
qu’il	Nc	qu’il
ne	Rp	NE
m’ait	Vvc	m’ait
promis	Ge	PROMETTRE
de	S	DE
n’épouser	Nc	n’épouser
que	Pr	QUE
moi	Pp	JE
.	Fs	.
Vous	Pp	VOUS
ferez	Vvc	FAIRE|FERRER
fort	Rg	FORT
bien	Rg	BIEN
de	S	DE
vous	Pp	VOUS
emparer	Vvn	EMPARER
de	S	DE
luI	Nc	luI
.	Fs	.
On	Pp	ON
reprend	Vvc	REPRENDRE
son	Ds	SON
bien	Nc	BIEN
où	Pr	OÙ
on	Pp	ON
le	Pp	IL
trouve	Vvc	TROUVER
,	Fw	,
une	Dn	UN
fois	Nc	FOI|FOIS
.	Fs	.
Assurément	Vvc	Assurément
.	Fs	.
Viens	Vvc	VENIR
avec	S	AVEC
moi	Pp	JE
,	Fw	,
ma	Ds	MON
pauvre	Ag	PAUVRE
Lisette	Nc	LISETTE
.	Fs	.
Non	Rg	NON
,	Fw	,
prenez	Vvc	PRENDRE
quelque	Di	QUELQUE
petite	Ag	PETIT
fille	Nc	FILLE
du	S+Da	DE+LE
village	Nc	VILLAGE
,	Fw	,
et	Cc	ET
me	Pp	JE
laissez	Vvc	LAISSER
parler	Vvn	PARLER
à	S	À
votre	Ds	VOTRE
tante	Nc	TANTE
.	Fs	.
J’en	Nc	J’en
tirerai	Vvc	TIRER
quelque	Di	QUELQUE
confidence	Nc	CONFIDENCE
,	Fw	,
qui	Pr	QUI
ne	Rp	NE
vous	Pp	VOUS
sera	Vuc	ÊTRE
pas	Rg	PAS
inutile	Ag	INUTILE
.	Fs	.
Que	Cs	QUE
cela	Pd	CELA
soit	Vuc	ÊTRE
bien	Rg	BIEN
tourné	Ge	TOURNER
,	Fw	,
Monsieur	Nc	MONSIEUR
le	Da	LE
Magister	Nc	MAGISTER
;	Fw	;
que	Cs	QUE
cela	Pd	CELA
soit	Vuc	ÊTRE
bien	Rg	BIEN
tourné	Ge	TOURNER
.	Fs	.
Ne	Rp	NE
vous	Pp	VOUS
boutez	Vvc	BOUTER
pas	Rg	PAS
en	S	EN
peine	Nc	PEINE
,	Fw	,
partant	Ga	PARTIR
que	Cs	QUE
les	Da	LE
garçons	Nc	GARÇON
ne	Rp	NE
manquiont	Vvc	manquiont
pas	Rg	PAS
de	S	DE
vin	Nc	VIN
et	Cc	ET
les	Da	LE
filles	Nc	FILLE
de	S	DE
tartes	Nc	TARTE
,	Fw	,
et	Cc	ET
que	Cs	QUE
vous	Pp	VOUS
nous	Pp	NOUS
bailliais	Vvc	bailliais
ces	Dd	CE
vingt	Nc	VINGT
écus	Nc	ÉCU|ÉCUS
que	Pr	QUE
vous	Pp	VOUS
m’avez	Vvc	m’avez
dit	Ge	DIRE
pour	S	POUR
les	Da	LE
ménétriers	Nc	MÉNÉTRIER
et	Cc	ET
pour	S	POUR
ces	Dd	CE
petites	Ag	PETIT
chansonnettes	Nc	CHANSONNETTE
que	Pr	QUE
je	Pp	JE
fourerons	Vvc	FOURRER
par-ci	Rg	PAR-CI
par-là	Rg	PAR-LÀ
,	Fw	,
nan	Rg	NON
ragaillardira	Vvc	RAGAILLARDIR
votre	Ds	VOTRE
soirée	Nc	SOIRÉE
de	S	DE
la	Da	LE
belle	Ag	BEAU
façon	Nc	FAÇON
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
réponds	Vvc	RÉPONDRE
.	Fs	.
Voilà	Vvc	Voilà
six	Nc	SIX
louis	Nc	LOUIS
d’or	Nc	d’or
,	Fw	,
Monsieur	Nc	MONSIEUR
le	Da	LE
Magister	Nc	MAGISTER
,	Fw	,
ce	Pd	CE
sont	Vuc	ÊTRE
dix	Nc	DIX
francs	Ag	FRANC
plus	Rg	PLUS
que	Cs	QUE
les	Da	LE
vingt	Nc	VINGT
écus	Nc	ÉCU|ÉCUS
.	Fs	.
Bon	Ag	BON
,	Fw	,
tant	Rg	TANT
mieux	Rg	MIEUX
;	Fw	;
je	Pp	JE
vous	Pp	VOUS
baillerons	Vvc	BÂILLER
queuque	Vvc	queuque
petit	Rg	PETIT
par-dessus	Rg	PAR-DESSUS
pour	S	POUR
ça	Pd	ÇA|CELA
;	Fw	;
et	Cc	ET
comme	Cs	COMME
j’ai	Vvc	j’ai
quelque	Di	QUELQUE
doutance	Nc	doutance
que	Pr	QUE
vous	Pp	VOUS
allez	Vvc	ALLER
vous	Pp	VOUS
remarier	Vvn	REMARIER
,	Fw	,
j’aurons	Vvc	j’aurons
soin	Nc	SOIN
de	S	DE
faire	Vvn	FAIRE
votre	Ds	VOTRE
épitra	Nc	épitra
...	Fs	...
votre	Ds	VOTRE
épitra	Nc	épitra
...	Fs	...
Mon	Nc	Mon
épitaphe	Nc	ÉPITAPHE
?	Fs	?
Hé	Vvc	Hé
,	Fw	,
morgué	Ge	MORGUER
,	Fw	,
nenni	Rg	NENNI
,	Fw	,
c’est	Nc	c’est
tout	Di	TOUT
le	Da	LE
contraire	Nc	CONTRAIRE
,	Fw	,
votre	Ds	VOTRE
épitralame	Nc	épitralame
,	Fw	,
je	Pp	JE
pense	Vvc	PENSER
,	Fw	,
je	Pp	JE
ne	Rp	NE
sais	Vvc	SAVOIR
pas	Rg	PAS
bian	Nc	BIAN
comme	Cs	COMME
ça	Pd	ÇA|CELA
s’appelle	Vvc	s’appelle
:	Fw	:
mais	Cc	MAIS
ce	Pd	CE
seront	Vuc	ÊTRE
des	Dn	UN
vars	Nc	VAR
à	S	À
votre	Ds	VOTRE
louange	Nc	LOUANGE
,	Fw	,
toujours	Rg	TOUJOURS
.	Fs	.
Ne	Rp	NE
manquez	Vvc	MANQUER
pas	Rg	PAS
,	Fw	,
surtout	Rg	SURTOUT
,	Fw	,
d’y	Nc	d’y
bien	Rg	BIEN
marquer	Vvn	MARQUER
les	Da	LE
agréments	Nc	AGRÉMENT
de	S	DE
la	Da	LE
fin	Nc	FIN
du	S+Da	DE+LE
siècle	Nc	SIÈCLE
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
si	Rg	SI
fortuné	Ag	FORTUNÉ
que	Cs	QUE
moi	Pp	JE
,	Fw	,
si	Rg	SI
fortuné	Ag	FORTUNÉ
,	Fw	,
que	Cs	QUE
je	Pp	JE
veux	Vvc	VOULOIR
que	Cs	QUE
ma	Ds	MON
reconnaissance	Nc	RECONNAISSANCE
en	Pp	EN
soit	Vuc	ÊTRE
publique	Ag	PUBLIC
.	Fs	.
Oh	I	OH
,	Fw	,
tatigué	Vvc	tatigué
,	Fw	,
laissez	Vvc	LAISSER
-moi	Vvc	-moi
faire	Vvn	FAIRE
,	Fw	,
j’en	Nc	j’en
sis	Ge	SEOIR
du	S+Da	DE+LE
moins	Nc	MOINS
aussi	Rg	AUSSI
content	Ag	CONTENT
que	Cs	QUE
vous	Pp	VOUS
.	Fs	.
J’ai	Vvc	J’ai
perdu	Ge	PERDRE
ma	Ds	MON
femme	Nc	FEMME
,	Fw	,
et	Cc	ET
puis	Vvc	POUVOIR
j’avons	Vvc	j’avons
cette	Dd	CE
année	Nc	ANNÉE
bon	Ag	BON
vin	Nc	VIN
,	Fw	,
bonne	Ag	BON
récolte	Nc	RÉCOLTE
,	Fw	,
je	Pp	JE
sommes	Vuc	ÊTRE
tretous	Nc	tretous
si	Rg	SI
aises	Ag	AISE|AISÉ
.	Fs	.
Allez	I	ALLEZ
,	Fw	,
je	Pp	JE
chanterons	Vvc	CHANTER
à	S	À
pleins	Ag	PLEIN
gosiers	Nc	GOSIER
,	Fw	,
et	Cc	ET
je	Pp	JE
remuerons	Vvc	REMUER
le	Da	LE
jarret	Nc	JARRET
de	S	DE
la	Da	LE
belle	Ag	BEAU
magnière	Vvc	magnière
.	Fs	.
Oui	Rg	OUI
,	Fw	,
mais	Cc	MAIS
c’est	Nc	c’est
pour	S	POUR
ce	Dd	CE
soir	Nc	SOIR
,	Fw	,
Monsieur	Nc	MONSIEUR
le	Da	LE
Magister	Nc	MAGISTER
;	Fw	;
et	Cc	ET
ces	Dd	CE
vers	Nc	VER|VERS|VERT
à	S	À
ma	Ds	MON
louange	Nc	LOUANGE
...	Fs	...
Oh	Nc	Oh
!	Fs	!
Que	Cs	QUE
ça	Pd	ÇA|CELA
fera	Vvc	FAIRE|FERRER
biantôt	Nc	biantôt
bâtI	Vvc	bâtI
.	Fs	.
Il	Pp	IL
n’est	Nc	n’est
pas	Rg	PAS
malaisié	Vvc	malaisié
de	S	DE
vous	Pp	VOUS
louer	Vvn	LOUER|LOVER
:	Fw	:
vous	Pp	VOUS
êtes	Vuc	ÊTRE
belle	Ag	BEAU
,	Fw	,
vous	Pp	VOUS
êtes	Vuc	ÊTRE
bonne	Ag	BON
,	Fw	,
vous	Pp	VOUS
êtes	Vuc	ÊTRE
riche	Ag	RICHE
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
jeune	Ag	JEUNE
aussi	Rg	AUSSI
,	Fw	,
Monsieur	Nc	MONSIEUR
le	Da	LE
Magister	Nc	MAGISTER
.	Fs	.
Voulez	Vvc	VOULOIR
-vous	Nc	-vous
que	Pr	QUE
je	Pp	JE
mette	Vvc	METTRE
itou	Rg	ITOU
ça	Pd	ÇA|CELA
;	Fw	;
hé	I	HÉ
bien	Rg	BIEN
,	Fw	,
volontiers	Rg	VOLONTIERS
,	Fw	,
tout	Di	TOUT
coup	Nc	COUP
vaille	Vvc	VALOIR
:	Fw	:
mais	Cc	MAIS
vous	Pp	VOUS
baillerez	Vvc	BÂILLER
queuque	Ag	queuque
chose	Nc	CHOSE
pour	S	POUR
l’âge	Nc	l’âge
.	Fs	.
Gardez	Vvc	GARDER
-vous	Nc	-vous
bien	Rg	BIEN
de	S	DE
l’oublier	Nc	l’oublier
.	Fs	.
Vous	Pp	VOUS
avez	Vuc	AVOIR
raison	Nc	RAISON
.	Fs	.
Je	Pp	JE
daterons	Vvc	DATER
la	Da	LE
chanson	Nc	CHANSON
,	Fw	,
et	Cc	ET
cela	Pd	CELA
vous	Pp	VOUS
sarvira	Vvc	sarvira
de	S	DE
baptistaire	Nc	BAPTISTAIRE
.	Fs	.
Adieu	Nc	ADIEU
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
je	Pp	JE
sis	Ge	SEOIR
content	Ag	CONTENT
de	S	DE
vous	Pp	VOUS
,	Fw	,
vous	Pp	VOUS
serez	Vuc	ÊTRE
contente	Ag	CONTENT
itou	Rg	ITOU
de	S	DE
la	Da	LE
date	Nc	DATE
,	Fw	,
sur	S	SUR
ma	Ds	MON
parole	Nc	PAROLE
.	Fs	.
Adieu	Nc	ADIEU
,	Fw	,
Monsieur	Nc	MONSIEUR
le	Da	LE
Magister	Nc	MAGISTER
,	Fw	,
votre	Ds	VOTRE
très	Rg	TRÈS
humble	Ag	HUMBLE
servante	Nc	SERVANT|SERVANTE|SERVITEUR
.	Fs	.
Ah	I	AH
!	Fs	!
Que	Cs	QUE
je	Pp	JE
suis	Vuc	ÊTRE
ravie	Ge	RAVIR
!	Fs	!
Que	Pt	QUE
j’envisage	Vvc	j’envisage
un	Dn	UN
charmant	Ag	CHARMANT
avenir	Nc	AVENIR
!	Fs	!
Quels	Dt	QUEL
heureux	Ag	HEUREUX
moments	Nc	MOMENT
!	Fs	!
Quels	Dt	QUEL
heureux	Ag	HEUREUX
moments	Nc	MOMENT
!	Fs	!
Je	Pp	JE
ne	Rp	NE
me	Pp	JE
sens	Vvc	SENTIR
pas	Rg	PAS
de	S	DE
joie	Nc	JOIE
.	Fs	.
Comment	Pt	COMMENT
donc	Rg	DONC
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
on	Pp	ON
dit	Vvc	DIRE
que	Cs	QUE
vous	Pp	VOUS
mettez	Vvc	METTRE
en	S	EN
joie	Nc	JOIE
tout	Di	TOUT
le	Da	LE
Village	Nc	VILLAGE
?	Fs	?
Est	Vuc	ÊTRE
-ce	Vvc	-ce
à	S	À
cause	Nc	CAUSE
de	S	DE
la	Da	LE
Fête	Nc	Fête
,	Fw	,
ou	Cc	OU
si	Cs	SI
vous	Pp	VOUS
avez	Vuc	AVOIR
quelque	Di	QUELQUE
sujet	Nc	SUJET
particulier	Ag	PARTICULIER
de	S	DE
vous	Pp	VOUS
réjouir	Vvn	RÉJOUIR
?	Fs	?
Les	Da	LE
mauvais	Ag	MAUVAIS
présages	Nc	PRÉSAGE
de	S	DE
ce	Dd	CE
matin	Nc	MATIN|MÂTIN
sont	Vuc	ÊTRE
évanouis	Ge	ÉVANOUIR
,	Fw	,
ma	Ds	MON
pauvre	Ag	PAUVRE
Lisette	Nc	LISETTE
,	Fw	,
j’ai	Vvc	j’ai
reçu	Ge	RECEVOIR
les	Da	LE
plus	Rg	PLUS
agréables	Ag	AGRÉABLE
nouvelles	Nc	NOUVEAU|NOUVELLE
...	Fs	...
Il	Vvc	Il
y	Pp	Y
aurait	Vuc	AVOIR
de	S	DE
l’indiscrétion	Nc	l’indiscrétion
,	Fw	,
peut-être	Rg	PEUT-ÊTRE
,	Fw	,
de	S	DE
vous	Pp	VOUS
demander	Vvn	DEMANDER
ce	Pd	CE
que	Pr	QUE
c’est	Nc	c’est
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
Qu’on	Nc	Qu’on
blâme	Vvc	BLÂMER
les	Da	LE
Devineresses	Nc	DEVIN
tant	Rg	TANT
qu’on	Nc	qu’on
voudra	Vvc	VOULOIR
,	Fw	,
je	Pp	JE
suis	Vuc	ÊTRE
contente	Ag	CONTENT
de	S	DE
la	Pp	IL
du	S+Da	DE+LE
Verger	Nc	VERGER
,	Fw	,
pour	S	POUR
moi	Pp	JE
.	Fs	.
Comment	Pt	COMMENT
donc	Rg	DONC
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
Nous	Pp	NOUS
y	Pp	Y
voilà	S	VOILÀ
parvenues	Nc	PARVENU
,	Fw	,
ma	Ds	MON
pauvre	Ag	PAUVRE
Lisette	Nc	LISETTE
,	Fw	,
nous	Pp	NOUS
y	Pp	Y
touchons	Vvc	TOUCHER
du	S+Da	DE+LE
bout	Nc	BOUT
du	S+Da	DE+LE
doigt	Nc	DOIGT
,	Fw	,
ma	Ds	MON
chère	Ag	CHER
enfant	Nc	ENFANT
.	Fs	.
Hé	Vvc	Hé
,	Fw	,
à	S	À
quoi	Pr	QUE|QUOI
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
À	Vvc	À
cet	Dd	CE
heureux	Ag	HEUREUX
temps	Nc	TEMPS
que	Cs	QUE
la	Da	LE
du	S+Da	DE+LE
Verger	Nc	VERGER
m’a	Vvc	m’a
tant	Rg	TANT
promis	Ge	PROMETTRE
à	S	À
la	Da	LE
fin	Nc	FIN
du	S+Da	DE+LE
siècle	Nc	SIÈCLE
,	Fw	,
et	Cc	ET
à	S	À
mon	Ds	MON
bonheur	Nc	BONHEUR
.	Fs	.
Hé	Vvc	Hé
,	Fw	,
qu’a	Vvc	qu’a
de	S	DE
commun	Ag	COMMUN
la	Da	LE
fin	Nc	FIN
du	S+Da	DE+LE
siècle	Nc	SIÈCLE
avec	S	AVEC
votre	Ds	VOTRE
bonheur	Nc	BONHEUR
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
Je	Pp	JE
n’ai	Vvc	n’ai
pas	Rg	PAS
eu	Ge	AVOIR
de	S	DE
grands	Ag	GRAND
plaisirs	Nc	PLAISIR
pendant	S	PENDANT
le	Da	LE
cours	Nc	COUR|COURS|COURT
de	S	DE
celui	Pd	CELUI
-ci	Vvc	-ci
;	Fw	;
mais	Cc	MAIS
je	Pp	JE
vais	Vvc	ALLER
passer	Vvn	PASSER
l’autre	Vvc	l’autre
agréablement	Rg	AGRÉABLEMENT
,	Fw	,
sur	S	SUR
ma	Ds	MON
parole	Nc	PAROLE
.	Fs	.
Voilà	Vvc	Voilà
de	S	DE
beaux	Ag	BEAU
projets	Nc	PROJET
!	Fs	!
Je	Pp	JE
suis	Vuc	ÊTRE
déjà	Rg	DÉJÀ
veuve	Nc	VEUF|VEUVE
,	Fw	,
premièrement	Rg	PREMIÈREMENT
.	Fs	.
Cela	Pd	CELA
promet	Vvc	PROMETTRE
,	Fw	,
vous	Pp	VOUS
avez	Vuc	AVOIR
raison	Nc	RAISON
.	Fs	.
Et	Cc	ET
je	Pp	JE
ne	Rp	NE
le	Pp	IL
serai	Vuc	ÊTRE
pas	Rg	PAS
longtemps	Rg	LONGTEMPS
,	Fw	,
encore	Rg	ENCORE
.	Fs	.
Comment	Pt	COMMENT
donc	Rg	DONC
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
C’est	Nc	C’est
la	Da	LE
saison	Nc	SAISON
des	S+Da	DE+LE|DE+LES
révolutions	Nc	RÉVOLUTION
,	Fw	,
que	Cs	QUE
la	Da	LE
fin	Nc	FIN
des	S+Da	DE+LE|DE+LES
siècles	Nc	SIÈCLE
,	Fw	,
et	Cc	ET
tu	Pp	TU
vas	Vvc	ALLER
voir	Vvn	VOIR
d’assez	Nc	d’assez
jolis	Ag	JOLI
changements	Nc	CHANGEMENT
dans	S	DANS
ma	Ds	MON
destinée	Nc	DESTINÉE
.	Fs	.
Hé	Vvc	Hé
,	Fw	,
quels	Dt	QUEL
changements	Nc	CHANGEMENT
,	Fw	,
encore	Rg	ENCORE
?	Fs	?
Je	Pp	JE
serai	Vuc	ÊTRE
dès	S	DÈS
aujourd’hui	Rg	aujourd’hui
femme	Nc	FEMME
de	S	DE
condition	Nc	CONDITION
.	Fs	.
Femme	Nc	FEMME
de	S	DE
condition	Nc	CONDITION
!	Fs	!
Cela	Pd	CELA
ne	Rp	NE
me	Pp	JE
surprend	Vvc	SURPRENDRE
point	Rg	POINT
,	Fw	,
vous	Pp	VOUS
êtes	Vuc	ÊTRE
taillée	Ge	TAILLER
pour	S	POUR
cela	Pd	CELA
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
en	Pp	EN
avez	Vuc	AVOIR
toutes	Di	TOUT
les	Da	LE
manières	Nc	MANIÈRE
.	Fs	.
C’est	Nc	C’est
sans	S	SANS
affectation	Nc	AFFECTATION
,	Fw	,
cela	Pd	CELA
m’est	Ag	m’est
naturel	Nc	NATUREL
.	Fs	.
Hé	Vvc	Hé
!	Fs	!
Quel	Dt	QUEL
heureux	Ag	HEUREUX
petit	Ag	PETIT
Seigneur	Nc	SEIGNEUR
aura	Vuc	AVOIR
le	Da	LE
bonheur	Nc	BONHEUR
de	S	DE
vous	Pp	VOUS
faire	Vvn	FAIRE
femme	Nc	FEMME
de	S	DE
condition	Nc	CONDITION
?	Fs	?
Le	Da	LE
petit	Ag	PETIT
Comte	Nc	COMTE|COMTÉ
,	Fw	,
ma	Ds	MON
chère	Ag	CHER
Lisette	Nc	LISETTE
,	Fw	,
le	Da	LE
petit	Ag	PETIT
Comte	Nc	COMTE|COMTÉ
.	Fs	.
Qui	Pr	QUI
,	Fw	,
le	Da	LE
petit	Ag	PETIT
Comte	Nc	COMTE|COMTÉ
?	Fs	?
Celui	Pd	CELUI
qui	Pr	QUI
était	Vuc	ÊTRE
amoureux	Ag	AMOUREUX
de	S	DE
votre	Ds	VOTRE
nièce	Nc	NIÈCE
?	Fs	?
Dis	Vvc	DIRE
,	Fw	,
qu’il	Nc	qu’il
feignait	Vvc	FEINDRE
de	S	DE
l’être	Vvc	l’être
pour	S	POUR
s’approcher	Nc	s’approcher
de	S	DE
moi	Pp	JE
.	Fs	.
Ah	I	AH
,	Fw	,
le	Da	LE
petit	Ag	PETIT
fourbe	Nc	FOURBE
!	Fs	!
Nous	Pp	NOUS
avons	Vuc	AVOIR
bien	Rg	BIEN
conduit	Vvc	CONDUIRE
cela	Pd	CELA
,	Fw	,
n’est	Nc	n’est
-ce	Vvc	-ce
pas	Rg	PAS
?	Fs	?
Hé	Vvc	Hé
,	Fw	,
qu’était-il	Vvc	qu’était-il
besoin	Nc	BESOIN
de	S	DE
conduire	Vvn	CONDUIRE
là-dedans	Rg	LÀ-DEDANS
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
dépendez	Vvc	DÉPENDRE
que	Rg	QUE
de	S	DE
vous	Pp	VOUS
.	Fs	.
L’agrément	Vvc	L’agrément
du	S+Da	DE+LE
mystère	Nc	MYSTÈRE
,	Fw	,
mon	Ds	MON
enfant	Nc	ENFANT
,	Fw	,
l’agrément	Vvc	l’agrément
du	S+Da	DE+LE
mystère	Nc	MYSTÈRE
,	Fw	,
j’avais	Vvc	j’avais
même	Ag	MÊME
dessein	Nc	DESSEIN
qu’il	Nc	qu’il
m’enlevât	Vvc	m’enlevât
:	Fw	:
oh	I	OH
!	Fs	!
Je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
que	Cs	QUE
c’est	Nc	c’est
un	Dn	UN
grand	Ag	GRAND
plaisir	Nc	PLAISIR
,	Fw	,
d’être	Nc	d’être
enlevée	Ge	ENLEVER
.	Fs	.
Oui	Rg	OUI
,	Fw	,
cela	Pd	CELA
a	Vuc	AVOIR
son	Ds	SON
mérite	Nc	MÉRITE
,	Fw	,
assurément	Rg	ASSURÉMENT
.	Fs	.
Nous	Pp	NOUS
nous	Pp	NOUS
serions	Vuc	ÊTRE
mariés	Vvc	MARRER
en	S	EN
cachette	Nc	CACHETTE
,	Fw	,
incognito	Rg	INCOGNITO
,	Fw	,
sous	S	SOUS
seing	Nc	SEING
privé	Ge	PRIVER
,	Fw	,
pour	S	POUR
éviter	Vvn	ÉVITER
les	Da	LE
manières	Nc	MANIÈRE
Bourgeoises	Ag	BOURGEOIS
.	Fs	.
Cela	Pd	CELA
était	Vuc	ÊTRE
noblement	Rg	NOBLEMENT
pensé	Ge	PENSER
.	Fs	.
Mais	Cc	MAIS
le	Da	LE
plaisir	Nc	PLAISIR
de	S	DE
faire	Vvn	FAIRE
enrager	Vvn	ENRAGER
de	S	DE
près	Rg	PRÈS
mon	Ds	MON
beau-frère	Nc	BEAU-FRÈRE
le	Da	LE
Procureur	Nc	PROCUREUR
,	Fw	,
qui	Pr	QUI
est	Vuc	ÊTRE
un	Dn	UN
fort	Rg	FORT
impertinent	Ag	IMPERTINENT
personnage	Nc	PERSONNAGE
,	Fw	,
la	Da	LE
joie	Nc	JOIE
que	Pr	QUE
j’aurai	Vvc	j’aurai
d’être	Ag	d’être
témoin	Nc	TÉMOIN
du	S+Da	DE+LE
dépit	Nc	DÉPIT
de	S	DE
ma	Ds	MON
sœur	Nc	sœur
et	Cc	ET
de	S	DE
ma	Ds	MON
nièce	Nc	NIÈCE
,	Fw	,
et	Cc	ET
de	S	DE
jouir	Vvn	JOUIR
par	S	PAR
mes	Ds	MON
propres	Ag	PROPRE
yeux	Nc	OEIL|YEUX
du	S+Da	DE+LE
désespoir	Nc	DÉSESPOIR
de	S	DE
toutes	Di	TOUT
les	Da	LE
femmes	Nc	FEMME
de	S	DE
ma	Ds	MON
connaissances	Nc	CONNAISSANCE
,	Fw	,
nous	Pp	NOUS
a	Vuc	AVOIR
fait	Ge	FAIRE
prendre	Vvn	PRENDRE
la	Da	LE
résolution	Nc	RÉSOLUTION
de	S	DE
faire	Vvn	FAIRE
ce	Dd	CE
mariage	Nc	MARIAGE
à	S	À
leurs	Ds	LEUR
barbes	Nc	BARBE
.	Fs	.
Oh	I	OH
,	Fw	,
cela	Pd	CELA
est	Vuc	ÊTRE
bien	Rg	BIEN
satisfaisant	Ag	SATISFAISANT
,	Fw	,
je	Pp	JE
te	Pp	TU
l’avoue	Vvc	l’avoue
.	Fs	.
Il	Pp	IL
n’y	Vvc	n’y
a	S	À
rien	Pi	RIEN
de	S	DE
plus	Rg	PLUS
gracieux	Ag	GRACIEUX
,	Fw	,
vous	Pp	VOUS
avez	Vuc	AVOIR
raison	Nc	RAISON
.	Fs	.
Le	Da	LE
petit	Ag	PETIT
Comte	Nc	COMTE|COMTÉ
va	Vvc	ALLER
arriver	Vvn	ARRIVER
,	Fw	,
et	Cc	ET
en	Pp	EN
poste	Vvc	POSTER
,	Fw	,
même	Ag	MÊME
;	Fw	;
son	Ds	SON
valet	Nc	VALET
de	S	DE
chambre	Nc	CHAMBRE
est	Vuc	ÊTRE
déjà	Rg	DÉJÀ
ici	Rg	ICI
,	Fw	,
cette	Dd	CE
affaire	Nc	AFFAIRE|AFFAIRÉ
-là	Ag	-là
sera	Vuc	ÊTRE
bientôt	Rg	BIENTÔT
publique	Ag	PUBLIC
.	Fs	.
Ne	Rp	NE
le	Pp	IL
serait-elle	Vvc	serait-elle
point	Rg	POINT
déjà	Rg	DÉJÀ
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
Voilà	Vvc	Voilà
votre	Ds	VOTRE
sœur	Nc	sœur
et	Cc	ET
votre	Ds	VOTRE
cousine	Nc	COUSIN
qui	Pr	QUI
me	Pp	JE
paraissent	Vvc	PARAÎTRE
bien	Rg	BIEN
échauffées	Ge	ÉCHAUFFER
.	Fs	.
Qu’est	Nc	Qu’est
-ce	Vvc	-ce
que	Cs	QUE
c’est	Nc	c’est
,	Fw	,
donc	Rg	DONC
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
?	Fs	?
Il	Pp	IL
se	Pp	IL
répand	Vvc	RÉPANDRE
un	Dn	UN
bruit	Nc	BRUIT
dans	S	DANS
le	Da	LE
Village	Nc	VILLAGE
qui	Pr	QUI
ma	Ds	MON
paraît	Vvc	PARAÎTRE
des	Dn	UN
plus	Rg	PLUS
surprenant	Ga	SURPRENDRE
.	Fs	.
Et	Cc	ET
à	S	À
moi	Pp	JE
des	Dn	UN
plus	Rg	PLUS
ridicule	Ag	RIDICULE
.	Fs	.
En	S	EN
quoi	Pr	QUE|QUOI
,	Fw	,
donc	Rg	DONC
,	Fw	,
ridicule	Ag	RIDICULE
?	Fs	?
Et	Cc	ET
qu’est	Nc	qu’est
-ce	Vvc	-ce
que	Rg	QUE
c’est	Ag	c’est
que	Cs	QUE
ce	Dd	CE
bruit	Nc	BRUIT
,	Fw	,
s’il	Nc	s’il
vous	Pp	VOUS
plaît	Vvc	PLAIRE
,	Fw	,
Mesdames	Vvc	Mesdames
?	Fs	?
Que	Cs	QUE
vous	Pp	VOUS
allez	Vvc	ALLER
épouser	Vvn	ÉPOUSER
Monsieur	Nc	MONSIEUR
le	Da	LE
Comte	Nc	COMTE|COMTÉ
,	Fw	,
un	Dn	UN
homme	Nc	HOMME
de	S	DE
qualité	Nc	QUALITÉ
,	Fw	,
un	Dn	UN
petit	Ag	PETIT
étourdi	Nc	ÉTOURDI
qui	Pr	QUI
n’a	Vvc	n’a
rien	Pi	RIEN
.	Fs	.
Oh	I	OH
!	Fs	!
Je	Pp	JE
ne	Rp	NE
trouve	Vvc	TROUVER
point	Rg	POINT
cela	Pd	CELA
vraisemblable	Ag	VRAISEMBLABLE
.	Fs	.
Cela	Pd	CELA
n’est	Vvc	n’est
pas	Rg	PAS
moins	Rg	MOINS
vrai	Ag	VRAI
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
,	Fw	,
me	Pp	JE
voilà	S	VOILÀ
Comtesse	Nc	COMTE|COMTESSE
;	Fw	;
et	Cc	ET
grâces	Nc	GRÂCE
au	S+Da	À+LE
Ciel	Nc	CIEL
,	Fw	,
nous	Pp	NOUS
ne	Rp	NE
figurerons	Vvc	FIGURER
plus	Rg	PLUS
ensemble	Rg	ENSEMBLE
.	Fs	.
Comtesse	Nc	COMTE|COMTESSE
,	Fw	,
vous	Pp	VOUS
?	Fs	?
